epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1684.91,2.15738,4.14215,4.25085,2.34069,0.00844,0.375,0.01239,0.00378,0.00685,0.5,0.01298,0.00393,3.07098,8.40401,9.77028,7.26939,0.000544625,0.000544625,0.000544625
59,2631.77,2.10479,3.39557,4.24047,2.24222,0.02033,0.25,0.02775,0.0076,0.01381,0.375,0.01765,0.00361,3.05803,8.80257,9.13183,8.77529,0.00053225,0.00053225,0.00053225
60,3581.97,2.03615,3.46904,4.31339,2.29802,0.02033,0.25,0.02775,0.0076,0.01381,0.375,0.01765,0.00361,3.05803,8.80257,9.13183,8.77529,0.000519875,0.000519875,0.000519875
61,3611.13,2.18047,3.3781,4.48619,2.32255,0.01228,0.125,0.02125,0.00567,0.01228,0.125,0.01696,0.00938,2.71166,4.64163,7.69297,4.14022,0.0005075,0.0005075,0.0005075
62,3631.87,1.97962,3.33037,4.19863,2.1906,0.01228,0.125,0.02125,0.00567,0.01228,0.125,0.01696,0.00938,2.71166,4.64163,7.69297,4.14022,0.000495125,0.000495125,0.000495125
63,4301.8,1.96418,2.89725,4.27017,2.22997,0.78518,0.125,0.07314,0.01585,0.78323,0.25,0.09246,0.02883,2.24397,3.07339,6.3768,2.77246,0.00048275,0.00048275,0.00048275
64,4390.23,2.08614,3.21695,4.21155,2.20695,0.78518,0.125,0.06497,0.0151,0.78323,0.25,0.08408,0.02806,2.24397,3.07339,6.3768,2.77246,0.000470375,0.000470375,0.000470375
65,4431.47,1.96119,3.04944,4.22167,2.1343,0.86089,0.125,0.08797,0.01746,0.86089,0.125,0.10733,0.03526,2.22543,3.06152,6.07889,2.80523,0.000458,0.000458,0.000458
66,4480.29,1.99269,3.38656,4.13279,2.12447,0.80432,0.125,0.06086,0.01319,0.80432,0.125,0.07438,0.02472,2.22543,3.06152,6.07889,2.80523,0.000445625,0.000445625,0.000445625
67,4518.97,1.97299,3.66348,4.07832,2.10367,0.04577,0.25,0.05578,0.01652,0.04577,0.25,0.05663,0.02237,2.0005,2.47387,6.07838,2.4701,0.00043325,0.00043325,0.00043325
68,4538.83,2.0808,3.06974,4.28742,2.13147,0.04577,0.25,0.05578,0.01652,0.04577,0.25,0.05663,0.02237,2.0005,2.47387,6.07838,2.4701,0.000420875,0.000420875,0.000420875
69,4575.39,2.1187,3.3767,4.26484,2.21527,0.303,0.125,0.05152,0.0103,0.28042,0.125,0.04158,0.01377,2.29424,2.97468,5.7876,2.70902,0.0004085,0.0004085,0.0004085
70,4664.49,2.12543,2.98048,4.1873,2.1995,0.13607,0.25,0.08886,0.03022,0.13607,0.25,0.08463,0.03824,2.29424,2.97468,5.7876,2.70902,0.000396125,0.000396125,0.000396125
71,4693.49,2.13004,2.92707,4.38551,2.29162,0.0588,0.25,0.05905,0.01723,0.0588,0.25,0.06005,0.02415,2.03195,2.05348,6.56173,2.27973,0.00038375,0.00038375,0.00038375
72,4716.37,2.05918,2.74162,4.36374,2.19105,0.0588,0.25,0.05905,0.01723,0.0588,0.25,0.06005,0.02415,2.03195,2.05348,6.56173,2.27973,0.000371375,0.000371375,0.000371375
73,4743.78,2.02266,2.79146,4.30244,2.12464,0.11549,0.25,0.15282,0.06492,0.11549,0.25,0.1535,0.07994,1.99255,2.0693,5.84727,2.21916,0.000359,0.000359,0.000359
74,4762.79,2.14926,2.47978,4.67223,2.32723,0.11549,0.25,0.15282,0.06492,0.11549,0.25,0.1535,0.07994,1.99255,2.0693,5.84727,2.21916,0.000346625,0.000346625,0.000346625
75,4782.05,2.22785,2.63039,4.16678,2.32849,0.08148,0.125,0.07649,0.01553,0.01932,0.25,0.038,0.01886,2.31687,2.16863,6.0742,2.41732,0.00033425,0.00033425,0.00033425
76,4800.71,2.20423,2.34334,4.18712,2.28228,0.08148,0.125,0.07649,0.01553,0.01932,0.25,0.038,0.01886,2.31687,2.16863,6.0742,2.41732,0.000321875,0.000321875,0.000321875
77,4822.12,2.09058,2.48079,4.24744,2.23973,0.02273,0.375,0.02363,0.00717,0.02964,0.5,0.03996,0.01642,2.35487,2.25733,6.0055,2.60911,0.0003095,0.0003095,0.0003095
78,4846.15,2.17947,2.82801,4.27168,2.32095,0.02273,0.375,0.02363,0.00717,0.02964,0.5,0.03996,0.01642,2.35487,2.25733,6.0055,2.60911,0.000297125,0.000297125,0.000297125
79,4894.77,2.16388,3.10369,4.1648,2.26515,0.03197,0.25,0.05109,0.01131,0.03197,0.25,0.05119,0.02277,2.14757,2.33438,5.66505,2.40464,0.00028475,0.00028475,0.00028475
